run,date(dd-mm),run type,Quality,Problem,Nevents (k),Edrift (V/cm),Eextraction (kV/cm),SiPM tension (V),gas pocket,laser intensity,trigger,trigtime (µs),post-trigger (µs),Time gate  (µs),PDM Coindidence,Threshold extent (ns),TPC pressure (mbarg),baseline from (samples),baseline to (samples),charge from (samples),charge to (samples),hit height cut (ADC),hit prominence cut (prominence),hit distance cut (samples),hit width cut (samples)
1193,16-11,s2,good,,20,200,2.8,65,ON(7 mm),,500,5,25,30,2,160,26,,,,,,,,
1194,16-11,s2,good,,20,200,2.8,65,ON(7 mm),,500,5,25,30,2,240,26,,,,,,,,
1195,16-11,s2,good,,20,200,2.8,65,ON(7 mm),,500,100,100,200,2,80,26,,,,,,,,
1197,17-11,s2,good,,20,200,2.8,65,ON(7 mm),,200,50,50,100,3,80,30,,,,,,,,
1198,17-11,s2,good,,20,200,2.8,65,ON(7 mm),,500,50,50,100,3,80,30,,,,,,,,
1200,17-11,s2,good,,20,200,3.78,65,ON(7 mm),,200,50,50,100,3,80,30,,,,,,,,
1201,17-11,s2,bad,noise,20,200,3.78,65,ON(7 mm),,500,50,50,100,3,80,30,,,,,,,,
1208,17-11,s2,good,,20,200,3.78,65,ON(9 mm),,500,50,50,100,3,80,30,,,,,,,,
1209,17-11,s2,bad,noise,20,200,3.78,65,ON(9 mm),,500,50,50,100,3,80,30,,,,,,,,
1219,17-11,s2,good,noise,20,200,3.78,65,ON(9 mm),,200,50,50,100,3,80,30,,,,,,,,
1220,17-11,s2,good,noise,20,200,3.78,65,ON(9 mm),,200,50,50,100,3,80,30,,,,,,,,
1221,17-11,s2,good,noise,20,200,2.8,65,ON(9 mm),,500,50,50,100,3,80,30,,,,,,,,
1222,17-11,s2,good,noise,20,200,2.8,65,ON(9 mm),,500,50,50,100,3,80,30,,,,,,,,
1223,17-11,s2,good,noise,20,200,2.8,65,ON(9 mm),,200,50,50,100,3,80,30,,,,,,,,
1224,17-11,s2,good,noise,20,200,2.8,65,ON(9 mm),,200,50,50,100,3,80,30,,,,,,,,
1226,17-11,s2,good,noise,40,200,3.78,65,ON(9 mm),,500,50,50,100,3,80,30,,,,,,,,
1228,17-11,s2,good,noise,15,200,3.78,65,ON(7 mm),,500,50,50,100,3,80,30,,,,,,,,
1229,17-11,s2,good,noise,40,200,3.78,65,ON(7 mm),,500,50,50,100,3,80,30,,,,,,,,
1232,18-11,laser run,good,,100,0,0,65,ON(7 mm),MAX,external clock (laser set to 1 kHz),5,7,12,,,30,,,,,,,,
1233,18-11,laser run,good,,100,0,0,65,ON(7 mm),MIN,external clock (laser set to 1 kHz),5,7,12,,,30,,,,,,,,
1234,18-11,random trigger,good,DAQ,40,200,3.78,65,ON(7 mm),,external (50 Hz),100,100,200,,,30,,,,,,,,
1235,18-11,random trigger,good,,70,200,3.78,65,ON(7 mm),,external (50 Hz),100,100,200,,,30,,,,,,,,
1237,18-11,random trigger,good,,40,200,3.78,65,ON(7 mm),,external (50 Hz),100,100,200,,,30,,,,,,,,
1238,18-11,random trigger,good,,40,200,3.78,65,ON(7 mm),,external (50 Hz),100,100,200,,,30,,,,,,,,
1239,18-11,random trigger,good,,40,0,0,65,OFF,,external (50 Hz),100,100,200,,,30,,,,,,,,
1240,18-11,random trigger,good,,40,0,0,65,OFF,,external (50 Hz),100,100,200,,,30,,,,,,,,
1241,18-11,random trigger,good,,40,0,0,65,OFF,,external (50 Hz),100,100,200,,,30,,,,,,,,
1242,18-11,random trigger,good,,40,0,0,65,OFF,,external (50 Hz),100,100,200,,,30,,,,,,,,
1243,18-11,random trigger,good,,40,0,0,65,OFF,,external (50 Hz),100,100,200,,,30,,,,,,,,
1244,18-11,random trigger,good,,40,0,0,65,OFF,,external (50 Hz),100,100,200,,,30,,,,,,,,
1245,18-11,random trigger,good,,40,0,0,65,OFF,,external (50 Hz),100,100,200,,,30,,,,,,,,
1246,18-11,random trigger,good,,40,0,0,65,OFF,,external (50 Hz),100,100,200,,,30,,,,,,,,
1247,18-11,random trigger,good,,40,0,0,65,OFF,,external (50 Hz),100,100,200,,,30,,,,,,,,
1248,18-11,random trigger,good,,40,0,0,65,OFF,,external (50 Hz),100,100,200,,,30,,,,,,,,
1249,18-11,random trigger,good,,40,0,0,65,OFF,,external (50 Hz),100,100,200,,,30,,,,,,,,
1250,18-11,random trigger,good,,40,0,0,65,OFF,,external (50 Hz),100,100,200,,,30,,,,,,,,
1251,18-11,random trigger,good,,40,0,0,65,OFF,,external (50 Hz),100,100,200,,,30,,,,,,,,
1252,18-11,random trigger,good,,40,0,0,65,OFF,,external (50 Hz),100,100,200,,,30,,,,,,,,
1253,19-11,laser run,good,,100,0,0,65,OFF,MAX,external clock (laser set to 1 kHz),5,7,12,,,30,,,,,,,,
1254,19-11,laser run,good,,100,0,0,65,OFF,MIN,external clock (laser set to 1 kHz),5,7,12,,,30,,,,,,,,
1255,19-11,random trigger,good,,10,0,0,65,OFF,,external (50 Hz),500,500,1000,,,30,,,,,,,,
1256,19-11,random trigger,good,DAQ,1.7,0,0,65,OFF,,external (50 Hz),500,500,1000,,,30,,,,,,,,
1257,19-11,random trigger,good,,10,0,0,65,OFF,,external (50 Hz),500,500,1000,,,30,,,,,,,,
1258,19-11,random trigger,good,,4.7,0,0,65,OFF,,external (50 Hz),1500,1500,3000,,,30,,,,,,,,
